Salón,Entidad,Distrito,ZORE,ARE,Responsable,Codigo,ID_survey,LINK,,,,
0101-19109,1,1,19,109,David,29311,126884,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=126884&ou=29311,,,,
0101-19110,1,1,19,110,David,29312,126681,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=126681&ou=29312,,,,
0101-20112,1,1,20,112,David,29314,118282,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118282&ou=29314,,,,
0101-20113,1,1,20,113,David,29315,118522,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118522&ou=29315,,,,
0101-20115,1,1,20,115,David,29317,125984,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=125984&ou=29317,,,,
0101-20116,1,1,20,116,David,29318,127461,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127461&ou=29318,,,,
0101-20117,1,1,20,117,David,29319,127754,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127754&ou=29319,,,,
0101-22122,1,1,22,122,David,29324,121953,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=121953&ou=29324,,,,
0101-23128,1,1,23,128,David,29330,127425,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127425&ou=29330,,,,
0101-23129,1,1,23,129,David,29331,117251,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117251&ou=29331,,,,
0101-23130,1,1,23,130,David,29332,127610,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127610&ou=29332,,,,
0101-23131,1,1,23,131,David,29333,124521,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=124521&ou=29333,,,,
