Salón,Entidad,Distrito,ZORE,ARE,Responsable,Codigo,ID_survey,LINK,,,,
0909-09052,9,9,9,52,David,36983,107825,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=107825&ou=36983,,,,
0909-10053,9,9,10,53,David,36984,73359,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=73359&ou=36984,,,,
0909-10054,9,9,10,54,David,36985,82552,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=82552&ou=36985,,,,
0909-10055,9,9,10,55,David,36986,91550,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=91550&ou=36986,,,,
0909-10056,9,9,10,56,David,36987,111065,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=111065&ou=36987,,,,
0909-10057,9,9,10,57,David,36988,108317,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=108317&ou=36988,,,,
0909-10058,9,9,10,58,David,36989,78618,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=78618&ou=36989,,,,
0909-11059,9,9,11,59,David,36990,65644,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=65644&ou=36990,,,,
0909-11060,9,9,11,60,David,36991,90621,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=90621&ou=36991,,,,
0909-11061,9,9,11,61,David,36992,99780,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=99780&ou=36992,,,,
0909-11062,9,9,11,62,David,36993,99762,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=99762&ou=36993,,,,
0909-11063,9,9,11,63,David,36994,43577,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=43577&ou=36994,,,,
0909-11064,9,9,11,64,David,36995,95450,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=95450&ou=36995,,,,
0909-12065,9,9,12,65,David,36996,30576,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=30576&ou=36996,,,,
0909-12066,9,9,12,66,David,36997,43477,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=43477&ou=36997,,,,
0909-12067,9,9,12,67,David,36998,66244,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=66244&ou=36998,,,,
0909-12068,9,9,12,68,David,36999,105107,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=105107&ou=36999,,,,
0909-12069,9,9,12,69,David,37000,99138,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=99138&ou=37000,,,,
0909-12070,9,9,12,70,David,37001,43776,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=43776&ou=37001,,,,
0909-13071,9,9,13,71,David,37002,56172,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=56172&ou=37002,,,,
0909-13072,9,9,13,72,David,37003,97584,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=97584&ou=37003,,,,
0909-13073,9,9,13,73,David,37004,44400,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=44400&ou=37004,,,,
0909-13074,9,9,13,74,David,37005,73679,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=73679&ou=37005,,,,
0909-13075,9,9,13,75,David,37006,97074,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=97074&ou=37006,,,,
0909-14076,9,9,14,76,David,37007,98653,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=98653&ou=37007,,,,
0909-14077,9,9,14,77,David,37008,56034,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=56034&ou=37008,,,,
0909-14078,9,9,14,78,David,37009,44629,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=44629&ou=37009,,,,
0909-14079,9,9,14,79,David,37010,44004,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=44004&ou=37010,,,,
0909-15080,9,9,15,80,David,37011,93859,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=93859&ou=37011,,,,
0909-15081,9,9,15,81,David,37012,95005,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=95005&ou=37012,,,,
0909-15082,9,9,15,82,David,37013,103536,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=103536&ou=37013,,,,
0909-15084,9,9,15,84,David,37015,28734,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=28734&ou=37015,,,,
0909-15085,9,9,15,85,David,37016,66304,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=66304&ou=37016,,,,
0909-16086,9,9,16,86,David,37017,84022,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=84022&ou=37017,,,,
0909-16087,9,9,16,87,David,37018,30180,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=30180&ou=37018,,,,
0909-16088,9,9,16,88,David,37019,110033,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=110033&ou=37019,,,,
0909-16089,9,9,16,89,David,37020,29538,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=29538&ou=37020,,,,
0909-16090,9,9,16,90,David,37021,106841,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=106841&ou=37021,,,,
0909-16091,9,9,16,91,David,37022,28674,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=28674&ou=37022,,,,
0909-17092,9,9,17,92,David,37023,95695,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=95695&ou=37023,,,,
0909-17093,9,9,17,93,David,37024,100932,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=100932&ou=37024,,,,
0909-17094,9,9,17,94,David,37025,56076,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=56076&ou=37025,,,,
0909-17095,9,9,17,95,David,37026,67018,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=67018&ou=37026,,,,
0909-17096,9,9,17,96,David,37027,108659,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=108659&ou=37027,,,,
0909-17097,9,9,17,97,David,37028,73294,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=73294&ou=37028,,,,
0909-18098,9,9,18,98,David,37029,44761,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=44761&ou=37029,,,,
0909-18099,9,9,18,99,David,37030,109613,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=109613&ou=37030,,,,
0909-18100,9,9,18,100,David,37031,56922,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=56922&ou=37031,,,,
0909-18101,9,9,18,101,David,37032,91250,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=91250&ou=37032,,,,
0909-18102,9,9,18,102,David,37033,97428,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=97428&ou=37033,,,,
0909-18103,9,9,18,103,David,37034,28836,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=28836&ou=37034,,,,
0909-19104,9,9,19,104,David,37035,57114,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=57114&ou=37035,,,,
0909-19105,9,9,19,105,David,37036,45037,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=45037&ou=37036,,,,
0909-19106,9,9,19,106,David,37037,67403,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=67403&ou=37037,,,,
0909-19107,9,9,19,107,David,37038,86074,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=86074&ou=37038,,,,
0909-19108,9,9,19,108,David,37039,45132,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=45132&ou=37039,,,,
0909-19109,9,9,19,109,David,37040,45012,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=45012&ou=37040,,,,
0909-20110,9,9,20,110,David,37041,96709,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=96709&ou=37041,,,,
0909-20111,9,9,20,111,David,37042,97710,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=97710&ou=37042,,,,
0909-20112,9,9,20,112,David,37043,95492,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=95492&ou=37043,,,,
0909-20113,9,9,20,113,David,37044,86265,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=86265&ou=37044,,,,
0909-20114,9,9,20,114,David,37045,67132,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=67132&ou=37045,,,,
0909-20115,9,9,20,115,David,37046,57282,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=57282&ou=37046,,,,
0909-21116,9,9,21,116,David,37047,66856,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=66856&ou=37047,,,,
0909-21117,9,9,21,117,David,37048,95515,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=95515&ou=37048,,,,
0909-21119,9,9,21,119,David,37050,74051,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=74051&ou=37050,,,,
0909-21120,9,9,21,120,David,37051,57559,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=57559&ou=37051,,,,
0909-21121,9,9,21,121,David,37052,57504,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=57504&ou=37052,,,,
0909-21122,9,9,21,122,David,37053,57715,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=57715&ou=37053,,,,
0910-01001,9,10,1,1,David,37055,46320,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=46320&ou=37055,,,,
0910-01002,9,10,1,2,David,37056,108581,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=108581&ou=37056,,,,
0910-01003,9,10,1,3,David,37057,67385,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=67385&ou=37057,,,,
0910-01005,9,10,1,5,David,37059,46410,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=46410&ou=37059,,,,
0910-01006,9,10,1,6,David,37060,89283,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=89283&ou=37060,,,,
0910-02007,9,10,2,7,David,37061,67715,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=67715&ou=37061,,,,
0910-02009,9,10,2,9,David,37063,85853,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=85853&ou=37063,,,,
0910-03012,9,10,3,12,David,37066,100692,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=100692&ou=37066,,,,
0910-03014,9,10,3,14,David,37068,109241,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=109241&ou=37068,,,,
0910-03015,9,10,3,15,David,37069,67603,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=67603&ou=37069,,,,
0910-03016,9,10,3,16,David,37070,67750,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=67750&ou=37070,,,,
0910-04017,9,10,4,17,David,37071,28896,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=28896&ou=37071,,,,
0910-04018,9,10,4,18,David,37072,30636,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=30636&ou=37072,,,,
0910-04019,9,10,4,19,David,37073,96966,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=96966&ou=37073,,,,
0910-04020,9,10,4,20,David,37074,95995,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=95995&ou=37074,,,,
0910-04021,9,10,4,21,David,37075,82042,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=82042&ou=37075,,,,
0910-04022,9,10,4,22,David,37076,82001,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=82001&ou=37076,,,,
0910-05024,9,10,5,24,David,37078,31615,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=31615&ou=37078,,,,
0910-05025,9,10,5,25,David,37079,107652,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=107652&ou=37079,,,,
0910-05026,9,10,5,26,David,37080,110477,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=110477&ou=37080,,,,
0910-05027,9,10,5,27,David,37081,109163,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=109163&ou=37081,,,,
0910-05028,9,10,5,28,David,37082,101514,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=101514&ou=37082,,,,
0910-06029,9,10,6,29,David,37083,95593,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=95593&ou=37083,,,,
0910-06031,9,10,6,31,David,37085,32034,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=32034&ou=37085,,,,
0910-06032,9,10,6,32,David,37086,47214,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=47214&ou=37086,,,,
0910-06033,9,10,6,33,David,37087,47538,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=47538&ou=37087,,,,
0910-06034,9,10,6,34,David,37088,98340,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=98340&ou=37088,,,,
0910-07035,9,10,7,35,David,37089,79114,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=79114&ou=37089,,,,
0910-07036,9,10,7,36,David,37090,47059,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=47059&ou=37090,,,,
0910-07037,9,10,7,37,David,37091,32430,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=32430&ou=37091,,,,
0910-07038,9,10,7,38,David,37092,47257,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=47257&ou=37092,,,,
0910-07039,9,10,7,39,David,37093,102984,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=102984&ou=37093,,,,
0910-07040,9,10,7,40,David,37094,30684,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=30684&ou=37094,,,,
0910-08043,9,10,8,43,David,37097,47598,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=47598&ou=37097,,,,
0910-08045,9,10,8,45,David,37099,47706,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=47706&ou=37099,,,,
0910-09048,9,10,9,48,David,37102,67948,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=67948&ou=37102,,,,
0910-09051,9,10,9,51,David,37105,32479,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=32479&ou=37105,,,,
0910-09052,9,10,9,52,David,37106,75124,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=75124&ou=37106,,,,
0910-10053,9,10,10,53,David,37107,74890,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=74890&ou=37107,,,,
0910-10055,9,10,10,55,David,37109,95534,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=95534&ou=37109,,,,
0910-10057,9,10,10,57,David,37111,102475,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=102475&ou=37111,,,,
0910-11059,9,10,11,59,David,37113,47916,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=47916&ou=37113,,,,
0910-11060,9,10,11,60,David,37114,110639,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=110639&ou=37114,,,,
0910-11061,9,10,11,61,David,37115,97141,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=97141&ou=37115,,,,
0910-11062,9,10,11,62,David,37116,90123,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=90123&ou=37116,,,,
0910-11063,9,10,11,63,David,37117,33091,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=33091&ou=37117,,,,
0910-11064,9,10,11,64,David,37118,33067,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=33067&ou=37118,,,,
0910-12066,9,10,12,66,David,37120,47772,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=47772&ou=37120,,,,
0910-12069,9,10,12,69,David,37123,29173,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=29173&ou=37123,,,,
0910-13071,9,10,13,71,David,37125,107339,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=107339&ou=37125,,,,
0910-13073,9,10,13,73,David,37127,47742,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=47742&ou=37127,,,,
0910-13074,9,10,13,74,David,37128,48126,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=48126&ou=37128,,,,
0910-13075,9,10,13,75,David,37129,32886,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=32886&ou=37129,,,,
0910-13076,9,10,13,76,David,37130,87561,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=87561&ou=37130,,,,
0910-14077,9,10,14,77,David,37131,109253,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=109253&ou=37131,,,,
0910-14078,9,10,14,78,David,37132,99648,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=99648&ou=37132,,,,
0910-14079,9,10,14,79,David,37133,59891,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=59891&ou=37133,,,,
0910-14080,9,10,14,80,David,37134,59291,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=59291&ou=37134,,,,
0910-14081,9,10,14,81,David,37135,60090,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=60090&ou=37135,,,,
0910-14082,9,10,14,82,David,37136,59183,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=59183&ou=37136,,,,
0910-15083,9,10,15,83,David,37137,94436,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=94436&ou=37137,,,,
0910-15084,9,10,15,84,David,37138,96138,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=96138&ou=37138,,,,
0910-15085,9,10,15,85,David,37139,103723,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=103723&ou=37139,,,,
0910-15086,9,10,15,86,David,37140,91682,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=91682&ou=37140,,,,
0910-15087,9,10,15,87,David,37141,108851,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=108851&ou=37141,,,,
0910-15088,9,10,15,88,David,37142,48414,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=48414&ou=37142,,,,
0910-16089,9,10,16,89,David,37143,109331,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=109331&ou=37143,,,,
0910-16090,9,10,16,90,David,37144,33679,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=33679&ou=37144,,,,
0910-16091,9,10,16,91,David,37145,98910,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=98910&ou=37145,,,,
0910-16092,9,10,16,92,David,37146,79920,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=79920&ou=37146,,,,
0910-16093,9,10,16,93,David,37147,99114,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=99114&ou=37147,,,,
0910-16094,9,10,16,94,David,37148,59405,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=59405&ou=37148,,,,
0910-17095,9,10,17,95,David,37149,59345,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=59345&ou=37149,,,,
0910-17096,9,10,17,96,David,37150,68368,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=68368&ou=37150,,,,
0910-17098,9,10,17,98,David,37152,48493,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=48493&ou=37152,,,,
0910-17099,9,10,17,99,David,37153,90202,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=90202&ou=37153,,,,
0910-18100,9,10,18,100,David,37154,48876,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=48876&ou=37154,,,,
0910-18101,9,10,18,101,David,37155,48847,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=48847&ou=37155,,,,
0910-18102,9,10,18,102,David,37156,75172,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=75172&ou=37156,,,,
0910-18103,9,10,18,103,David,37157,79216,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=79216&ou=37157,,,,
0910-18104,9,10,18,104,David,37158,102846,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=102846&ou=37158,,,,
0910-18105,9,10,18,105,David,37159,59747,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=59747&ou=37159,,,,
0910-19107,9,10,19,107,David,37161,74760,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=74760&ou=37161,,,,
0910-19108,9,10,19,108,David,37162,60001,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=60001&ou=37162,,,,
0910-19109,9,10,19,109,David,37163,94711,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=94711&ou=37163,,,,
0910-19110,9,10,19,110,David,37164,28387,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=28387&ou=37164,,,,
0910-20114,9,10,20,114,David,37168,99228,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=99228&ou=37168,,,,
0910-21119,9,10,21,119,David,37173,68986,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=68986&ou=37173,,,,
0910-22124,9,10,22,124,David,37178,60371,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=60371&ou=37178,,,,
0910-22125,9,10,22,125,David,37179,82414,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=82414&ou=37179,,,,
0910-22126,9,10,22,126,David,37180,49482,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=49482&ou=37180,,,,
0910-22127,9,10,22,127,David,37181,107357,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=107357&ou=37181,,,,
0910-22128,9,10,22,128,David,37182,99714,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=99714&ou=37182,,,,
0910-22129,9,10,22,129,David,37183,35048,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=35048&ou=37183,,,,
0910-23130,9,10,23,130,David,37184,109097,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=109097&ou=37184,,,,
